ligand_id	barrier_energy	original_line
PV-002385144243	30.61	PV-002385144243 30.610
PV-002385301946	29.245	PV-002385301946 29.245
PV-002385828987	27.726	PV-002385828987 27.726
PV-002386199808	29.29	PV-002386199808 29.290
PV-002386315015	27.504	PV-002386315015 27.504
PV-002386499523	30.281	PV-002386499523 30.281
PV-002387016592	30.545	PV-002387016592 30.545
PV-002387342134	28.065	PV-002387342134 28.065
PV-002387380832	30.99	PV-002387380832 30.990
PV-002387584007	28.462	PV-002387584007 28.462
PV-002387607154	30.826	PV-002387607154 30.826
PV-002388523642	27.664	PV-002388523642 27.664
PV-002389093458	30.405	PV-002389093458 30.405
PV-002389333982	25.357	PV-002389333982 25.357
PV-002389337908	26.383	PV-002389337908 26.383
PV-002389901522	30.294	PV-002389901522 30.294
PV-002390032795	31.643	PV-002390032795 31.643
PV-002390992625	28.634	PV-002390992625 28.634
PV-002391741944	30.631	PV-002391741944 30.631
PV-002392669032	30.769	PV-002392669032 30.769
PV-002392696036	30.733	PV-002392696036 30.733
PV-002392819944	29.385	PV-002392819944 29.385
PV-002392961049	30.922	PV-002392961049 30.922
PV-002393479632	29.81	PV-002393479632 29.810
PV-002394425966	30.313	PV-002394425966 30.313
PV-002394505639	28.192	PV-002394505639 28.192
PV-002394861007	31.552	PV-002394861007 31.552
PV-002395166821	28.594	PV-002395166821 28.594
PV-002396034446	29.147	PV-002396034446 29.147
PV-002396496291	25.426	PV-002396496291 25.426
PV-002399980970	27.929	PV-002399980970 27.929
PV-002402085136	25.178	PV-002402085136 25.178
PV-002402705527	26.922	PV-002402705527 26.922
PV-002402732647	27.853	PV-002402732647 27.853
PV-002403282345	31.474	PV-002403282345 31.474
PV-002403726507	27.857	PV-002403726507 27.857
PV-002404481613	29.519	PV-002404481613 29.519
PV-002404782788	30.574	PV-002404782788 30.574
PV-002405472108	26.174	PV-002405472108 26.174
PV-002406322133	28.073	PV-002406322133 28.073
PV-002407512261	28.382	PV-002407512261 28.382
PV-002408300930	30.617	PV-002408300930 30.617
PV-002408861406	31.673	PV-002408861406 31.673
PV-002409781299	25.587	PV-002409781299 25.587
PV-002410107531	29.014	PV-002410107531 29.014
PV-002411488556	29.925	PV-002411488556 29.925
PV-002412080814	30.299	PV-002412080814 30.299
PV-002412289991	25.849	PV-002412289991 25.849
PV-002412459249	31.471	PV-002412459249 31.471
PV-002412550144	28.075	PV-002412550144 28.075
PV-002412911495	30.583	PV-002412911495 30.583
PV-002414789176	31.004	PV-002414789176 31.004
PV-002415098468	26.114	PV-002415098468 26.114
PV-002415171443	29.52	PV-002415171443 29.520
PV-002417508580	26.932	PV-002417508580 26.932
PV-002417603375	29.508	PV-002417603375 29.508
PV-002417954116	31.424	PV-002417954116 31.424
PV-002419014492	30.574	PV-002419014492 30.574
PV-002419403251	25.135	PV-002419403251 25.135
PV-002419450212	28.274	PV-002419450212 28.274
PV-002420183725	29.582	PV-002420183725 29.582
PV-002420308170	27.802	PV-002420308170 27.802
PV-002421519803	30.346	PV-002421519803 30.346
PV-002421783056	31.18	PV-002421783056 31.180
PV-002423008202	29.537	PV-002423008202 29.537
PV-002423266201	28.714	PV-002423266201 28.714
PV-002424880856	30.77	PV-002424880856 30.770
PV-002426387621	29.742	PV-002426387621 29.742
PV-002426959723	30.397	PV-002426959723 30.397
PV-002427481001	26.913	PV-002427481001 26.913
PV-002427665116	26.771	PV-002427665116 26.771
PV-002428479025	27.413	PV-002428479025 27.413
PV-002428882862	31.65	PV-002428882862 31.650
PV-002430283994	28.794	PV-002430283994 28.794
PV-002430533544	29.203	PV-002430533544 29.203
PV-002430891385	26.673	PV-002430891385 26.673
PV-002432486957	30.721	PV-002432486957 30.721
PV-002432714385	28.966	PV-002432714385 28.966
PV-002433727106	26.397	PV-002433727106 26.397
PV-002433788551	26.9	PV-002433788551 26.900
PV-002434645404	31.182	PV-002434645404 31.182
PV-002434648033	27.025	PV-002434648033 27.025
PV-002434750875	28.719	PV-002434750875 28.719
PV-002435007943	29.906	PV-002435007943 29.906
PV-002436189399	26.143	PV-002436189399 26.143
PV-002436464737	30.553	PV-002436464737 30.553
PV-002436749946	31.134	PV-002436749946 31.134
PV-002437047414	30.882	PV-002437047414 30.882
PV-002437832050	31.298	PV-002437832050 31.298
PV-002437911626	29.729	PV-002437911626 29.729
PV-002438079234	25.983	PV-002438079234 25.983
PV-002438267481	30.498	PV-002438267481 30.498
PV-002438644354	28.977	PV-002438644354 28.977
PV-002439162396	30.415	PV-002439162396 30.415
PV-002439189092	30.33	PV-002439189092 30.330
PV-002439293625	28.646	PV-002439293625 28.646
PV-002439902159	26.312	PV-002439902159 26.312
PV-002440281192	29.616	PV-002440281192 29.616
PV-002440467495	27.065	PV-002440467495 27.065
PV-002441117494	29.667	PV-002441117494 29.667
PV-002441768023	27.611	PV-002441768023 27.611
PV-002442251051	29.455	PV-002442251051 29.455
PV-002442351362	25.492	PV-002442351362 25.492
PV-002442790573	30.044	PV-002442790573 30.044
PV-002442855362	26.427	PV-002442855362 26.427
PV-002443305633	26.464	PV-002443305633 26.464
PV-002444965815	30.074	PV-002444965815 30.074
PV-002444982533	30.518	PV-002444982533 30.518
PV-002445422073	31.324	PV-002445422073 31.324
PV-002445639231	26.661	PV-002445639231 26.661
PV-002445918560	26.272	PV-002445918560 26.272
PV-002446803113	29.415	PV-002446803113 29.415
PV-002446854582	29.407	PV-002446854582 29.407
PV-002446890342	26.477	PV-002446890342 26.477
PV-002447967903	30.428	PV-002447967903 30.428
PV-002448780888	29.881	PV-002448780888 29.881
PV-002451820375	28.187	PV-002451820375 28.187
PV-002453225359	30.46	PV-002453225359 30.460
PV-002453597914	28.699	PV-002453597914 28.699
PV-002454755901	30.85	PV-002454755901 30.850
PV-002455851634	29.251	PV-002455851634 29.251
PV-002456228664	29.403	PV-002456228664 29.403
PV-002456700834	25.81	PV-002456700834 25.810
PV-002457040617	27.901	PV-002457040617 27.901
PV-002458887514	30.299	PV-002458887514 30.299
PV-002459227700	31.168	PV-002459227700 31.168
PV-002459715554	31.879	PV-002459715554 31.879
PV-002461203285	31.065	PV-002461203285 31.065
PV-002461248297	26.267	PV-002461248297 26.267
PV-002461978434	27.254	PV-002461978434 27.254
PV-002462340513	28.45	PV-002462340513 28.450
PV-002463691063	29.298	PV-002463691063 29.298
PV-002463854524	27.457	PV-002463854524 27.457
PV-002464626052	26.087	PV-002464626052 26.087
PV-002464708768	26.888	PV-002464708768 26.888
PV-002465246073	27.674	PV-002465246073 27.674
PV-002465379848	26.818	PV-002465379848 26.818
PV-002465772958	28.276	PV-002465772958 28.276
PV-002466536140	30.109	PV-002466536140 30.109
PV-002466987452	26.67	PV-002466987452 26.670
PV-002467116857	27.295	PV-002467116857 27.295
PV-002468284371	29.946	PV-002468284371 29.946
PV-002468491985	30.774	PV-002468491985 30.774
PV-002468508683	28.184	PV-002468508683 28.184
PV-002469333891	26.08	PV-002469333891 26.080
PV-002469436207	28.837	PV-002469436207 28.837
PV-002470723107	26.795	PV-002470723107 26.795
PV-002470862538	26.581	PV-002470862538 26.581
PV-002470993314	31.041	PV-002470993314 31.041
PV-002471150530	29.28	PV-002471150530 29.280
PV-002472078193	28.786	PV-002472078193 28.786
PV-002472602872	29.172	PV-002472602872 29.172
PV-002472942326	30.092	PV-002472942326 30.092
PV-002473659334	27.46	PV-002473659334 27.460
PV-002474122252	30.687	PV-002474122252 30.687
PV-002475861754	30.199	PV-002475861754 30.199
PV-002477570698	26.462	PV-002477570698 26.462
PV-002478354854	31.716	PV-002478354854 31.716
PV-002479016980	29.035	PV-002479016980 29.035
PV-002480872652	29.14	PV-002480872652 29.140
PV-002481149148	30.389	PV-002481149148 30.389
PV-002481658175	28.594	PV-002481658175 28.594
PV-002483291822	26.481	PV-002483291822 26.481
PV-002485636696	30.551	PV-002485636696 30.551
PV-002485922292	29.842	PV-002485922292 29.842
PV-002486188598	30.649	PV-002486188598 30.649
PV-002486827152	27.511	PV-002486827152 27.511
PV-002487113403	25.885	PV-002487113403 25.885
PV-002488495611	29.424	PV-002488495611 29.424
PV-002488609372	28.773	PV-002488609372 28.773
PV-002489056877	30.715	PV-002489056877 30.715
PV-002489229506	28.823	PV-002489229506 28.823
PV-002489326726	28.01	PV-002489326726 28.010
PV-002489521794	28.312	PV-002489521794 28.312
PV-002489633969	26.651	PV-002489633969 26.651
PV-002490637582	30.941	PV-002490637582 30.941
PV-002491364919	30.219	PV-002491364919 30.219
PV-002491425545	30.665	PV-002491425545 30.665
PV-002491884034	30.381	PV-002491884034 30.381
PV-002492379158	28.568	PV-002492379158 28.568
PV-002493416989	27.028	PV-002493416989 27.028
PV-002493428838	30.37	PV-002493428838 30.370
PV-002493459748	25.851	PV-002493459748 25.851
PV-002493823196	29.515	PV-002493823196 29.515
PV-002493827066	26.536	PV-002493827066 26.536
PV-002494139625	31.885	PV-002494139625 31.885
PV-002494150305	30.808	PV-002494150305 30.808
PV-002494493883	30.551	PV-002494493883 30.551
PV-002494590009	29.823	PV-002494590009 29.823
PV-002495159869	27.312	PV-002495159869 27.312
PV-002496082439	31.767	PV-002496082439 31.767
PV-002496678200	25.63	PV-002496678200 25.630
PV-002497407202	28.994	PV-002497407202 28.994
PV-002497544254	31.243	PV-002497544254 31.243
PV-002498277640	29.345	PV-002498277640 29.345
PV-002498464551	28.703	PV-002498464551 28.703
PV-002498641364	30.613	PV-002498641364 30.613
PV-002499133940	27.799	PV-002499133940 27.799
PV-002500567685	31.239	PV-002500567685 31.239
PV-002500641531	26.65	PV-002500641531 26.650
PV-002503437546	26.366	PV-002503437546 26.366
PV-002503602760	30.12	PV-002503602760 30.120
PV-002504563491	32.289	PV-002504563491 32.289
PV-002504977524	30.535	PV-002504977524 30.535
PV-002505230101	27.051	PV-002505230101 27.051
PV-002507357878	26.968	PV-002507357878 26.968
PV-002509049251	30.654	PV-002509049251 30.654
