ligand_id	barrier_energy	job_id	barrier_file	barrier_line
PV-006971139708	29.168600000013775	1	ligand_barriers_JOB_1.txt	"PV-006971139708	1	29.168600000013775"
PV-006971390256	29.009700000002034	1	ligand_barriers_JOB_1.txt	"PV-006971390256	1	29.009700000002034"
PV-006971830494	32.00740000000299	1	ligand_barriers_JOB_1.txt	"PV-006971830494	1	32.00740000000299"
PV-006971830495	30.888299999999994	1	ligand_barriers_JOB_1.txt	"PV-006971830495	1	30.888299999999994"
PV-006971830496	25.98500000000836	1	ligand_barriers_JOB_1.txt	"PV-006971830496	1	25.98500000000836"
PV-006971860343	31.119600000000382	1	ligand_barriers_JOB_1.txt	"PV-006971860343	1	31.119600000000382"
PV-006971978453	30.428500000001318	1	ligand_barriers_JOB_1.txt	"PV-006971978453	1	30.428500000001318"
PV-006972105916	29.6945000000041	1	ligand_barriers_JOB_1.txt	"PV-006972105916	1	29.6945000000041"
PV-006972119918	27.531600000006037	1	ligand_barriers_JOB_1.txt	"PV-006972119918	1	27.531600000006037"
PV-006972312647	29.939999999985112	1	ligand_barriers_JOB_1.txt	"PV-006972312647	1	29.939999999985112"
PV-006972590545	28.350900000004476	1	ligand_barriers_JOB_1.txt	"PV-006972590545	1	28.350900000004476"
PV-006972590546	26.94730000000613	1	ligand_barriers_JOB_1.txt	"PV-006972590546	1	26.94730000000613"
PV-006972761152	29.25159999999628	1	ligand_barriers_JOB_1.txt	"PV-006972761152	1	29.25159999999628"
PV-006972805093	25.306200000005383	1	ligand_barriers_JOB_1.txt	"PV-006972805093	1	25.306200000005383"
PV-006972942166	30.77909999999776	1	ligand_barriers_JOB_1.txt	"PV-006972942166	1	30.77909999999776"
PV-006973376133	29.942600000002606	1	ligand_barriers_JOB_1.txt	"PV-006973376133	1	29.942600000002606"
PV-006973376134	31.114799999997768	1	ligand_barriers_JOB_1.txt	"PV-006973376134	1	31.114799999997768"
PV-006973376135	27.97890000001415	1	ligand_barriers_JOB_1.txt	"PV-006973376135	1	27.97890000001415"
PV-006973968477	31.037400000001686	1	ligand_barriers_JOB_1.txt	"PV-006973968477	1	31.037400000001686"
PV-006973968478	30.89080000000298	1	ligand_barriers_JOB_1.txt	"PV-006973968478	1	30.89080000000298"
PV-006973968479	31.008099999991806	1	ligand_barriers_JOB_1.txt	"PV-006973968479	1	31.008099999991806"
PV-006973987975	26.378900000005697	1	ligand_barriers_JOB_1.txt	"PV-006973987975	1	26.378900000005697"
PV-006974220752	26.26169999999979	1	ligand_barriers_JOB_1.txt	"PV-006974220752	1	26.26169999999979"
PV-006974550520	29.4783000000054	1	ligand_barriers_JOB_1.txt	"PV-006974550520	1	29.4783000000054"
PV-006974630334	26.144300000008002	1	ligand_barriers_JOB_1.txt	"PV-006974630334	1	26.144300000008002"
PV-006974841647	25.703800000003163	1	ligand_barriers_JOB_1.txt	"PV-006974841647	1	25.703800000003163"
PV-006974968559	28.322000000000923	1	ligand_barriers_JOB_1.txt	"PV-006974968559	1	28.322000000000923"
PV-006975031792	31.723599999997404	1	ligand_barriers_JOB_1.txt	"PV-006975031792	1	31.723599999997404"
PV-006975073596	28.118799999992547	1	ligand_barriers_JOB_1.txt	"PV-006975073596	1	28.118799999992547"
PV-006975213969	29.192999999997383	1	ligand_barriers_JOB_1.txt	"PV-006975213969	1	29.192999999997383"
PV-006975833730	27.984800000000085	1	ligand_barriers_JOB_1.txt	"PV-006975833730	1	27.984800000000085"
PV-006976046684	29.689499999998496	1	ligand_barriers_JOB_1.txt	"PV-006976046684	1	29.689499999998496"
PV-006976476667	31.247200000000024	1	ligand_barriers_JOB_1.txt	"PV-006976476667	1	31.247200000000024"
PV-006977301191	26.46239999999999	1	ligand_barriers_JOB_1.txt	"PV-006977301191	1	26.46239999999999"
PV-006977557701	27.88099999999552	1	ligand_barriers_JOB_1.txt	"PV-006977557701	1	27.88099999999552"
PV-006977622614	29.623199999998892	1	ligand_barriers_JOB_1.txt	"PV-006977622614	1	29.623199999998892"
PV-006977712445	31.8013999999946	1	ligand_barriers_JOB_1.txt	"PV-006977712445	1	31.8013999999946"
PV-006978065087	26.755100000002596	1	ligand_barriers_JOB_1.txt	"PV-006978065087	1	26.755100000002596"
