ligand_id	barrier_energy	barrier_group
PV-006960771355	25.537400000000925	low
PV-006960891497	26.454899999991422	low
PV-006960970064	32.10919999998249	high
PV-006961676404	25.11360000000298	low
PV-006961786900	30.097899999999058	high
PV-006962175663	29.284200000004276	high
PV-006962663712	27.71899999999925	low
PV-006962663713	28.420899999999993	middle
PV-006962663714	26.59540000000055	low
PV-006962668241	30.173099999998694	high
PV-006962900028	29.342499999994416	high
PV-006963012851	29.528599999997024	high
PV-006963074016	29.14530000000298	high
PV-006963433852	26.181900000003157	low
PV-006964300482	29.824199999991983	high
PV-006964457903	27.073700000001292	low
PV-006964457904	29.07770000000055	high
PV-006964457905	29.676799999989395	high
PV-006964582486	30.325700000001493	high
PV-006964584680	28.235500000001675	middle
PV-006964617656	25.90089999999601	low
PV-006964778273	28.5112999999974	middle
PV-006964802522	28.624900000002228	middle
PV-006964943107	29.870799999994603	high
PV-006964977144	27.48149999999682	low
PV-006965233501	30.996600000003365	high
PV-006965341717	26.39640000001322	low
PV-006965443386	28.427899999998328	middle
PV-006965528838	31.72420000000338	high
PV-006965590757	30.98489999999199	high
PV-006965743399	30.69469999999869	high
PV-006965863880	25.845700000008005	low
PV-006965921848	28.566500000003906	middle
PV-006965999889	28.989299999999158	middle
PV-006966244633	31.135200000000008	high
PV-006966289822	29.08689999999441	high
PV-006967160300	30.89749999999908	high
PV-006968035681	30.139400000000002	high
PV-006968071580	29.661599999998888	high
PV-006968481584	26.42130000000102	low
PV-006968493471	29.729700000000207	high
PV-006968906747	29.215699999990683	high
PV-006969285340	28.773400000003356	middle
PV-006969681739	31.034200000002425	high
PV-006969772776	31.667900000002984	high
PV-006970021513	26.992999999997384	low
PV-006970096815	28.95419999998863	middle
PV-006970114902	30.05669999999851	high
PV-006970240487	29.38459999999012	high
PV-006971139707	29.41199999999888	high
PV-006971139708	29.168600000013775	high
PV-006971390256	29.009700000002034	high
PV-006971830494	32.00740000000299	high
PV-006971830495	30.888299999999994	high
PV-006971830496	25.98500000000836	low
PV-006971860343	31.119600000000382	high
PV-006971978453	30.428500000001318	high
PV-006972105916	29.6945000000041	high
PV-006972119918	27.531600000006037	low
PV-006972312647	29.939999999985112	high
PV-006972590545	28.350900000004476	middle
PV-006972590546	26.94730000000613	low
PV-006972761152	29.25159999999628	high
PV-006972805093	25.306200000005383	low
PV-006972942166	30.77909999999776	high
PV-006973376133	29.942600000002606	high
PV-006973376134	31.114799999997768	high
PV-006973376135	27.97890000001415	low
PV-006973968477	31.037400000001686	high
PV-006973968478	30.89080000000298	high
PV-006973968479	31.008099999991806	high
PV-006973987975	26.378900000005697	low
PV-006974220752	26.26169999999979	low
PV-006974550520	29.4783000000054	high
PV-006974630334	26.144300000008002	low
PV-006974841647	25.703800000003163	low
PV-006974968559	28.322000000000923	middle
PV-006975031792	31.723599999997404	high
PV-006975073596	28.118799999992547	middle
PV-006975213969	29.192999999997383	high
PV-006975833730	27.984800000000085	low
PV-006976046684	29.689499999998496	high
PV-006976476667	31.247200000000024	high
PV-006977301191	26.46239999999999	low
PV-006977557701	27.88099999999552	low
PV-006977622614	29.623199999998892	high
PV-006977712445	31.8013999999946	high
PV-006978065087	26.755100000002596	low
PV-006978065088	29.500300000002618	high
PV-006978065089	29.98799999999553	high
PV-006978491454	31.755500000000758	high
PV-006979053646	31.9597000000054	high
PV-006979075160	26.53170000000577	low
PV-006980097599	26.18470000000204	low
PV-006980492795	28.769999999998507	middle
PV-006980505910	28.49540000000259	middle
PV-006981032762	29.062399999999073	high
PV-006981273760	30.535100000004086	high
PV-006981466208	27.66809999999982	low
PV-006981489415	27.65379999999329	low
