feature_set	n_features	model	n_samples	n_low	n_high	accuracy_mean	accuracy_std	balanced_accuracy_mean	balanced_accuracy_std	f1_mean	f1_std	roc_auc_mean	roc_auc_std
ligand_residue_PRO_LIG	21	logistic_regression_balanced	86	30	56	0.626797385620915	0.06464974127518032	0.5977272727272728	0.08083017374757052	0.7083794466403163	0.047508763378556716	0.622979797979798	0.07436257713579948
ligand_residue_PRO_LIG	21	random_forest_balanced	86	30	56	0.592156862745098	0.07784091467168318	0.47727272727272724	0.07009111215891138	0.7284761904761905	0.06403683747100558	0.37992424242424244	0.16997238202712317
residue_residue_PRO_PRO	3982	logistic_regression_balanced	86	30	56	0.5006535947712418	0.05189394311445546	0.48484848484848486	0.048390058856579724	0.5802232854864433	0.059405553078177326	0.48560606060606065	0.06811444482723947
residue_residue_PRO_PRO	3982	random_forest_balanced	86	30	56	0.6509803921568628	0.007843137254901933	0.5	0.0	0.7885714285714285	0.005714285714285739	0.6354797979797979	0.06420252795217213
GTP_residue_PRO_GTP	83	logistic_regression_balanced	86	30	56	0.5124183006535947	0.08986393329305734	0.478030303030303	0.10142465437078521	0.606425120772947	0.09326719733996656	0.3939393939393939	0.06135895979186848
GTP_residue_PRO_GTP	83	random_forest_balanced	86	30	56	0.6274509803921569	0.049604355453621636	0.4901515151515151	0.04362478802693322	0.767032967032967	0.03736263736263736	0.45429292929292925	0.059396602015491025
all_model_used_features	4086	logistic_regression_balanced	86	30	56	0.4888888888888888	0.0344364441106392	0.47575757575757577	0.034015067152490384	0.56688995215311	0.04398833954768734	0.4916666666666667	0.06501041803916649
all_model_used_features	4086	random_forest_balanced	86	30	56	0.6509803921568628	0.007843137254901933	0.5	0.0	0.7885714285714285	0.005714285714285739	0.6337121212121213	0.08782325831783436
